Date,Season,Source,Acreage,Owner,clipped UA,clipped _1,SznEndDate,Year,UA
3/27/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,18.2,Private,0,0,1/1/2007,2007,notUA
2005,7/1/2004 - 6/30/2005,Southern Illinois Prescribed Burn Association,4.8,Private,0,0,1/1/2005,2005,notUA
1/2/2005,7/1/2004 - 6/30/2005,Southern Illinois Prescribed Burn Association,9.7,Private,0,0,1/1/2005,2005,notUA
3/3/2006,7/1/2005 - 6/30/2006,Southern Illinois Prescribed Burn Association,107.7,Illinois Department of Natural Resources,0,0,1/1/2006,2006,notUA
3/17/2006,7/1/2005 - 6/30/2006,Southern Illinois Prescribed Burn Association,12.6,Private,0,0,1/1/2006,2006,notUA
3/17/2006,7/1/2005 - 6/30/2006,Southern Illinois Prescribed Burn Association,1.5,Private,0,0,1/1/2006,2006,notUA
3/10/2004,7/1/2003 - 6/30/2004,Southern Illinois Prescribed Burn Association,10.7,Private,0,0,1/1/2004,2004,notUA
3/3/2006,7/1/2005 - 6/30/2006,Southern Illinois Prescribed Burn Association,48.4,Private,0,0,1/1/2006,2006,notUA
3/24/2006,7/1/2005 - 6/30/2006,Southern Illinois Prescribed Burn Association,52.2,Private,0,0,1/1/2006,2006,notUA
3/24/2006,7/1/2005 - 6/30/2006,Southern Illinois Prescribed Burn Association,10.7,Private,0,0,1/1/2006,2006,notUA
3/10/2004,7/1/2003 - 6/30/2004,Southern Illinois Prescribed Burn Association,15.6,Private,0,0,1/1/2004,2004,notUA
3/3/2006,7/1/2005 - 6/30/2006,Southern Illinois Prescribed Burn Association,13.2,Private,0,0,1/1/2006,2006,notUA
3/3/2006,7/1/2005 - 6/30/2006,Southern Illinois Prescribed Burn Association,6.5,Private,0,0,1/1/2006,2006,notUA
4/5/2006,7/1/2005 - 6/30/2006,Southern Illinois Prescribed Burn Association,47.3,Private,0,0,1/1/2006,2006,notUA
4/5/2006,7/1/2005 - 6/30/2006,Southern Illinois Prescribed Burn Association,54.9,Private,0,0,1/1/2006,2006,notUA
4/5/2006,7/1/2005 - 6/30/2006,Southern Illinois Prescribed Burn Association,46.3,Private,0,0,1/1/2006,2006,notUA
2/28/2006,7/1/2005 - 6/30/2006,Southern Illinois Prescribed Burn Association,27.5,Illinois Department of Natural Resources,0,0,1/1/2006,2006,notUA
3/26/2006,7/1/2005 - 6/30/2006,Southern Illinois Prescribed Burn Association,34.8,Illinois Department of Natural Resources,0,0,1/1/2006,2006,notUA
3/8/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,74.1,Private,0,0,1/1/2007,2007,notUA
3/17/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,29.6,Private,0,0,1/1/2007,2007,notUA
3/17/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,12.4,Private,0,0,1/1/2007,2007,notUA
3/13/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,15.5,Private,0,0,1/1/2007,2007,notUA
